dep,which,pkg,when,count
direct,strong,maptools,jan,94
direct,most,maptools,jan,182
recursive,strong,maptools,jan,647
direct,strong,maptools,dec,71
direct,most,maptools,dec,154
recursive,strong,maptools,dec,143
direct,strong,rgdal,jan,211
direct,most,rgdal,jan,361
recursive,strong,rgdal,jan,270
direct,strong,rgdal,dec,177
direct,most,rgdal,dec,316
recursive,strong,rgdal,dec,214
direct,strong,rgeos,jan,139
direct,most,rgeos,jan,224
recursive,strong,rgeos,jan,193
direct,strong,rgeos,dec,112
direct,most,rgeos,dec,188
recursive,strong,rgeos,dec,143
